Name,Team,Position,Rating
Aaron Civale,MIL,P,0.6
Aaron Judge,NYY,H,8.5
Aaron Nola,PHI,P,3.4
Adam Frazier,PIT,H,0.3
Adley Rutschman,BAL,H,5.5
Adolis Garcia,TEX,H,2.9
AJ Smith-Shawver,ATL,P,1.7
Alan Roden,TOR,H,2.3
Alec Bohm,PHI,H,3
Alec Burleson,STL,H,2.2
Alejandro Kirk,TOR,H,3.6
Alex Bregman,BOS,H,3.4
Andre Pallante,STL,P,1.1
Andres Gimenez,TOR,H,5
Andrew Benintendi,CHW,H,1.3
Andrew Heaney,PIT,P,1
Andrew Vaughn,CHW,H,0.9
Andy Pages,LAD,H,2.5
Anthony Santander,TOR,H,2.9
Anthony Volpe,NYY,H,3.9
Antonio Senzetela,COL,P,1.3
Austin Gomber,COL,P,1
Austin Riley,ATL,H,4.4
Austin Wells,NYY,H,2.9
Bailey Falter,PIT,P,1.6
Bailey Ober,MIN,P,1.9
Ben Brown,CHC,P,1.4
Ben Lively,CLE,P,1.1
Ben Rice,NYY,H,0.9
Blake Snell,LAD,P,2.9
Bo Bichette,TOR,H,3.6
Bo Naylor,CLE,H,2.4
Bobby Witt,KCR,H,6
Bowden Francis,TOR,P,0.6
Brady Singer,CIN,P,2.2
Brandon Lowe,TBR,H,3.1
Brandon Marsh,PHI,H,2.4
Brandon Nimmo,NYM,H,3.6
Brandon Pfaadt,ARI,P,2.7
Brayan Rocchio,CLE,H,1.8
Brendan Donovan,STL,H,2.7
Brendan Rodgers,HOU,H,1.3
Brenton Doyle,COL,H,2.7
Brett Baty,NYM,H,2
Brett Rooker,ATH,H,4
Brice Turang,MIL,H,2.6
Brooks Baldwin,CHW,H,1.2
Bryan De La Cruz,ATL,H,0.1
Bryan Reynolds,PIT,H,2.2
Bryan Woo,SEA,P,2.1
Bryce Elder,ATL,P,0.6
Bryce Harper,PHI,H,3.8
Bryce Miller,SEA,P,2
Bryson Stott,PHI,H,3.4
Byron Buxton,MIN,H,2.7
Cade Povich,BAL,P,0.5
Cal Quantrill,MIA,P,0.3
Cal Raleigh,SEA,H,4.9
Cam Smith,HOU,H,0.4
Carlos Carrasco,NYY,P,0.1
Carlos Correa,MIN,H,3.2
Carlos Rodon,NYY,P,2.4
Carlos Santana,CLE,H,0.9
Carmen Mlodzinski,PIT,P,0.8
Carson Spiers,CIN,P,0.1
Casey Mize,DET,P,1.1
Ceddanne Rafaela,BOS,H,2.1
Cedric Mullins,BAL,H,3.1
